연번,업종명,업소명,소     재     지,면적(㎡)
146,일반음식점,방가삼대 얼큰한뼈해장국, 청주시 서원구 사직대로164번길 26  1층 (사창동),
147,일반음식점,스시뷔페 스시베이 청주점, 청주시 서원구 복대로 5  7층 (개신동),
148,일반음식점,개신점 닭깡, 청주시 서원구 경신로 36  1층 (개신동),
149,일반음식점,명륜진사갈비청주개신점, 청주시 서원구 복대로 11  1층 101호 (개신동),
150,일반음식점,신전떡볶이, 청주시 서원구 복대로 19  1층 102호 (개신동  매직타워),
151,일반음식점,에꿍이치킨-충대개신점, 청주시 서원구 모충로3번길 68  1층 (개신동  외 1필지),
152,일반음식점,교촌치킨가경2호점, 청주시 서원구 복대로 19  1층 110호 (개신동),
153,일반음식점,전주콩나물국밥, 청주시 서원구 복대로 19 (개신동 번지 105호),
154,일반음식점,훌랄라 치킨, 청주시 서원구 신율로 49 (개신동 번지 101호),
155,일반음식점,서울뚝배기, 청주시 서원구 예체로 119 (사창동 (지하1층)),
156,일반음식점,개신마당, 청주시 서원구 경신로 31-4  1층 (개신동),
157,일반음식점,한성토종한우, 청주시 서원구 성봉로169번길 41-2 (개신동 (1층)),
158,일반음식점,돈(豚)마루, 청주시 서원구 신율로 63  1층 (개신동),
159,일반음식점,아르떼스커피, 청주시 서원구 복대로 15  1층 (개신동),
160,일반음식점,본죽개신점, 청주시 서원구 복대로 27  캐슬타워 1층 106호 (개신동),
161,일반음식점,박태규의 철통닭갈비 개신점, 청주시 서원구 신율로 49 (개신동 106호),
162,일반음식점,맛깔참죽 청주개신성화지구점, 청주시 서원구 경신로 32-15 (개신동 (1층)),
163,일반음식점,초사골불타는쭈꾸미, 청주시 서원구 경신로 31-30 (개신동 115  116호(1층)),
164,일반음식점,쿡메시야, 청주시 서원구 1순환로674번길 48 (사창동 (1층)),
165,일반음식점,BHC(비에이치씨) 가경개신점, 청주시 서원구 경신로 31-30 (개신동 (1층) 122호),
166,일반음식점,참숯불구이도야지, 청주시 서원구 신율로53번길 8 (개신동),
167,일반음식점,호식이두마리치킨 청주1호점, 청주시 서원구 복대로 7 (개신동 외 1필지  103호),
168,일반음식점,현도향, 청주시 서원구 내수동로 91-1  지하1층 (사창동),
169,일반음식점,뚱이돈까스, 청주시 서원구 사직대로 112  1층 (사창동),
170,일반음식점,삼춘네 삼겹살, 청주시 서원구 내수동로108번길 27  3층 (사창동),
171,일반음식점,참두레밥상, 청주시 서원구 사직대로176번길 7 (사창동 외 1필지(1층)),
172,일반음식점,옥경이실내포차, 청주시 서원구 창신로32번길 9 (사창동),
173,일반음식점,삼부자집, 청주시 서원구 창신로22번길 14 (사창동 (1층)),
174,일반음식점,아웃닭, 청주시 서원구 1순환로674번길 18 (사창동 (1층)),
175,일반음식점,부어치킨(충북대점), 청주시 서원구 1순환로674번길 66 (사창동),
176,일반음식점,산촌한우직판장, 청주시 서원구 1순환로648번길 10 (사창동),
177,일반음식점,빨간우체통, 청주시 서원구 1순환로672번길 35 (사창동 (2층)),
178,일반음식점,한성칡냉면, 청주시 서원구 창직로 14  1층 (사창동),
179,일반음식점,주성각, 청주시 서원구 1순환로 689  1동 지하층 2 3호 (사창동  주성아파트),
180,일반음식점,용구비어, 청주시 서원구 1순환로704번길 78 (사창동 (1층)),
181,일반음식점,피자마루개신사직점, 청주시 서원구 모충로 27-2 (개신동 (1층)),
182,일반음식점,순이네분식, 청주시 서원구 사직대로 157  1층 (사창동),
183,일반음식점,구룡산한식, 청주시 서원구 1순환로 765 (개신동 (1층)),
184,일반음식점,보릿고개, 청주시 서원구 천수로 5 (사창동 (1층)),
185,일반음식점,울진생고기촌, 청주시 서원구 천수로8번길 5  1층 (사창동),
186,일반음식점,충만치킨 충북대점, 청주시 서원구 1순환로672번길 19 (사창동 2층),
187,일반음식점,대원불고기, 청주시 서원구 천수로 14-2  마동 6호 (사창동 동신),
188,일반음식점,트윙클, 청주시 서원구 내수동로 157 (사창동 (2층)),
189,일반음식점,진미회포장마차, 청주시 서원구 창신로32번길 25-1  1층 (사창동),
190,일반음식점,지구촌감자탕추어탕, 청주시 서원구 신율로 70 (개신동 (1층)),
191,일반음식점,청정돼지 국내산삼겹살 봉명사창점, 청주시 서원구 창직로 6 (사창동),
192,일반음식점,더큰밥버거, 청주시 서원구 내수동로102번길 54  1층 (사창동),
193,일반음식점,조은날 숯불고기, 청주시 서원구 창신로26번길 19  1층 (사창동),
194,일반음식점,생클레어, 청주시 서원구 내수동로108번길 7  2층 (사창동),
195,일반음식점,조선주먹구이, 청주시 서원구 모충로25번길 9  1층 (개신동),
196,일반음식점,일품향, 청주시 서원구 예체로117번길 3 (사창동 (1층)),
197,일반음식점,대연대패삼겹살, 청주시 서원구 모충로 11  1층 (개신동),
198,일반음식점,담쟁이, 청주시 서원구 사직대로144번길 36  B동 지하1층 (사창동),
199,일반음식점,페리카나양념통닭, 청주시 서원구 1순환로 698 (사창동 (1층)),
200,일반음식점,싸가지떡볶이, 청주시 서원구 1순환로672번길 5 (사창동 외 1필지 (1층)),
201,일반음식점,캐슬비어, 청주시 서원구 예체로29번길 17 (개신동  (삼익아파트 B동 108  109호)),
202,일반음식점,행복한세상, 청주시 서원구 예체로117번길 5  1층 (사창동),
203,일반음식점,본스치킨, 청주시 서원구 예체로67번길 46  1층 (사창동),
204,일반음식점,복화원, 청주시 서원구 사직대로144번길 33  1층 (사창동),
205,일반음식점,요리조리쿡쿡, 청주시 서원구 내수동로108번길 43 (사창동 (1층)),
